Name,YrBorn,YrDeath,Age_at_death,Genre
Mikhail Ippolitov-Ivanov,1859,1935,76,Romantic composer
Victor Herbert,1859,1924,65,Romantic composer
Sergei Lyapunov,1859,1924,65,Romantic composer
Per Lasson,1859,1883,24,Romantic composer
John Walter Jones ,,,24,Rap artist
BLENDA BOY BOO ,,,28,Rap artist
MAURICE HOBBS JR. ,,,18,Rap artist
Lee “Q” O’Denat ,,,43,Rap artist
Codeine Cody ,,,29,Rap artist
Kionn Lamothe  ,,,25,Rap artist
Big Lyl ,,,44,Rap artist
That Boy Tyson ,,,32,Rap artist
Big Syke ,,,48,Rap artist
Bobby Dimes ,,,31,Rap artist
Ivory P ,,,36,Rap artist
Young Affishal ,,,24,Rap artist
Boss Status Duke ,,,27,Rap artist
Tre Tre ,,,21,Rap artist
Mr. 3-2 ,,,44,Rap artist
King Shoota ,,,23,Rap artist
Mad Max ,,,24,Rap artist
John Doe ,,,22,Rap artist
Jgreen ,,,31,Rap artist
Shawty Lo ,,,40,Rap artist
Lo ,,,21,Rap artist
King D Seals ,,,29,Rap artist
 J-Money Trulla ,,,20,Rap artist
Kid Cali ,,,28,Rap artist
Illa ,,,29,Rap artist
Money Makin Meechie ,,,19,Rap artist
DTTX ,,,46,Rap artist
Lor Scoota ,,,23,Rap artist
Suave Bandz ,,,17,Rap artist
Yuk ,,,35,Rap artist
ShayBaby ,,,28,Rap artist
Sizzlac ,,,29,Rap artist
Thugga ,,,23,Rap artist
Swipey ,,,18,Rap artist
Mdot ,,,17,Rap artist
Starboy ,,,19,Rap artist
Phife Dawg ,,,45,Rap artist
Osama Dex ,,,17,Rap artist
Bankroll Fresh ,,,28,Rap artist
Sham713 ,,,24,Rap artist
FIf Money ,,,29,Rap artist
TOON ,,,26,Rap artist
Rasta Rozae ,,,23,Rap artist
Donkey Cartel ,,,18,Rap artist
Swagg Huncho ,,,18,Rap artist
Koopsta Knicca ,,,40,Rap artist
Darnelle Barnes ,,,18,Rap artist
Konfidence ,,,25,Rap artist
Wolf Da Boss ,,,36,Rap artist
Don Bino ,,,20,Rap artist
Unkle Lord ,,,21,Rap artist
City Stylez ,,,32,Rap artist
TYMB ,,,25,Rap artist
Sean Price ,,,43,Rap artist
Spike G ,,,22,Rap artist
Nicholas “Nick Scarfo” Jackson ,,,42,Rap artist
G-Rock ,,,29,Rap artist
Stello ,,,26,Rap artist
Capo ,,,22,Rap artist
Hussein Fatal ,,,42,Rap artist
Fathead ,,,32,Rap artist
Young Ready ,,,31,Rap artist
Kutthroat Von ,,,21,Rap artist
Jimmie Wallstreet ,,,32,Rap artist
Pumpkinhead ,,,39,Rap artist
Twizzle ,,,26,Rap artist
Young Pappy ,,,20,Rap artist
Chinx Drugz ,,,31,Rap artist
Polo Aka Mr GDK ,,,22,Rap artist
Green Eyez ,,,42,Rap artist
The Last Mr. Bigg ,,,42,Rap artist
Jerome “Lil Boo” Anderson ,,,22,Rap artist
Kealo Ivy ,,,21,Rap artist
Rachel “La Baby Smiley” Aboytes ,,,21,Rap artist
Chris Smokes ,,,26,Rap artist
Manmoo ,,,25,Rap artist
Hicity Dirt ,,,26,Rap artist
The Jacka ,,,37,Rap artist
Eazy Tarentino ,,,19,Rap artist
A$AP Yams ,,,26,Rap artist
Jae High ,,,24,Rap artist
Boss Rell ,,,16,Rap artist
Nutt ,,,26,Rap artist
Rrari ,,,30,Rap artist
Young B The Future ,,,27,Rap artist
Earl hayes ,,,34,Rap artist
Boom ,,,24,Rap artist
Big Hank ,,,57,Rap artist
CJ Bandin Up ,,,19,Rap artist
HiWay ,,,47,Rap artist
Summa AKA Francisco Mercedez ,,,29,Rap artist
Vonno ,,,20,Rap artist
Short Kidd ,,,22,Rap artist
Lil Scrapp ,,,22,Rap artist
Jugg Money ,,,20,Rap artist
D-Beezy ,,,19,Rap artist
JayAre ,,,25,Rap artist
OFT Nunu ,,,21,Rap artist
Hollywood Will ,,,25,Rap artist
Kay Pee Lashore ,,,16,Rap artist
Murda Mars ,,,25,Rap artist
SweetPinkxx ,,,25,Rap artist
Yung Kaptin ,,,29,Rap artist
Mazaradi Fox ,,,42,Rap artist
Eric “E-9” Andrews Jr ,,,28,Rap artist
Doe B ,,,22,Rap artist
 Lord Infamous ,,,40,Rap artist
Don Darius ,,,17,Rap artist
Charlese “Ms. Atlanta” Brookes ,,,34,Rap artist
 Tavache “Trife” Kizer ,,,38,Rap artist
Leonard “L’A Capone” Anderson ,,,17,Rap artist
Depzman ,,,18,Rap artist
Kevin “Flipside” White AKA Dirty Kev ,,,44,Rap artist
Jeremy “Jit” Hill ,,,23,Rap artist
Lor D’Shaun ,,,15,Rap artist
Sheresa “Shay K” Moore ,,,26,Rap artist
Addarren “Lil Snupe” Ross ,,,18,Rap artist
OG Manman ,,,23,Rap artist
Jeffrey “Lil Jeff” Morgan aka #99 ,,,21,Rap artist
"Chris ""Mac Daddy"" Kelly ",,,34,Rap artist
Tyrell Young ,,,22,Rap artist
OG Double D ,,,42,Rap artist
Kenneth “Nu Money” Casilla ,,,20,Rap artist
Magic ,,,37,Rap artist
Kenny “Cherry” Clutch ,,,27,Rap artist
Tim Dog ,,,46,Rap artist
Johnny “Johnny Boy Da Prince” Taylor ,,,23,Rap artist
Freddy E ,,,22,Rap artist
Justin “Yung Teddy” Mitchell ,,,23,Rap artist
"Ulysses ""Chris"" Gissendanner III ",,,19,Rap artist
Evon “Yung LT” Young ,,,22,Rap artist
Capital STEEZ ,,,19,Rap artist
Natina Reed ,,,31,Rap artist
Creepy Face ,,,37,Rap artist
John Vietnam ,,,19,Rap artist
KMG the illustrator ,,,43,Rap artist
Lil Phat ,,,19,Rap artist
Adam Yauch AKA MCA ,,,47,Rap artist
Anthony Spencer AKA Tony Trapz ,,,23,Rap artist
Slim Dunkin ,,,25,Rap artist
Killa Keise ,,,28,Rap artist
Heavy D ,,,44,Rap artist
Chaos Kid ,,,37,Rap artist
M-Bone ,,,22,Rap artist
Nate Dogg ,,,41,Rap artist
Bad News Brown ,,,33,Rap artist
Magnolia Shorty ,,,28,Rap artist
Eyedea ,,,28,Rap artist
Rammellzee ,,,50,Rap artist
Guru ,,,48,Rap artist
G Baby Brown ,,,22,Rap artist
Apache ,,,45,Rap artist
Killa Sha ,,,38,Rap artist
Baatin ,,,35,Rap artist
Abraham Bojorquez ,,,26,Rap artist
Dolla ,,,21,Rap artist
P-Folks ,,,32,Rap artist
Tony D ,,,42,Rap artist
King Tut ,,,23,Rap artist
29-E ,,,24,Rap artist
MC Breed ,,,37,Rap artist
Pretty Russ ,,,35,Rap artist
Johnny J ,,,39,Rap artist
Sporty T ,,,30,Rap artist
Camu Tao ,,,30,Rap artist
VL Mike ,,,32,Rap artist
Cavlar ,,,36,Rap artist
Static Major ,,,33,Rap artist
Blu Crush ,,,29,Rap artist
O.G. Style ,,,37,Rap artist
Pimp C ,,,33,Rap artist
 Sinnister ,,,37,Rap artist
Damon “Jokez”  Field ,,,21,Rap artist
Big Moe ,,,33,Rap artist
Mista Snake AKA Joe B.G. ,,,27,Rap artist
Stack Bundles ,,,31,Rap artist
Woodie ,,,31,Rap artist
Doc Doom ,,,30,Rap artist
Bloody Mary ,,,36,Rap artist
Bone Skanless ,,,32,Rap artist
Big Hawk ,,,36,Rap artist
Proof ,,,32,Rap artist
Professor X ,,,49,Rap artist
J Dilla ,,,32,Rap artist
A.C Chill ,,,36,Rap artist
Blade Icewood ,,,28,Rap artist
Ol' Dirty Bastard ,,,35,Rap artist
Mac Dre ,,,34,Rap artist
Billboard AKA 4 Cent aka 4 Bent ,,,24,Rap artist
Quran AKA Holy Quran ,,,25,Rap artist
King Freako ,,,30,Rap artist
Soulja Slim ,,,26,Rap artist
Half a Mill ,,,30,Rap artist
Double D ,,,30,Rap artist
Speedy Loc ,,,24,Rap artist
Big DS ,,,31,Rap artist
Camoflauge ,,,21,Rap artist
B-Brazy ,,,28,Rap artist
Sabotage ,,,29,Rap artist
Jam Master Jay ,,,37,Rap artist
Big Mello ,,,33,Rap artist
"Lisa ""Left Eye"" Lopes ",,,30,Rap artist
Mastif ,,,33,Rap artist
DJ Uncle Al ,,,32,Rap artist
Coughnut ,,,31,Rap artist
E-MoneyBags ,,,29,Rap artist
Too Poetic ,,,36,Rap artist
Big Ed ,,,29,Rap artist
Prince Ital Joe ,,,38,Rap artist
Marlon Brando ,,,22,Rap artist
Tonnie Sheppard ,,,36,Rap artist
Chip Banks ,,,30,Rap artist
DJ Screw ,,,29,Rap artist
Joe C ,,,26,Rap artist
Eclipse ,,,23,Rap artist
Mausberg ,,,21,Rap artist
Yusef Afloat ,,,28,Rap artist
Q-Don ,,,22,Rap artist
Big Pun ,,,28,Rap artist
Bugz ,,,21,Rap artist
Malcolm Howard ,,,30,Rap artist
Freaky Tah ,,,27,Rap artist
Big L ,,,24,Rap artist
Big Steve ,,,24,Rap artist
Fat Pat ,,,27,Rap artist
Scientifik ,,,25,Rap artist
DJ Crazy Rak  ,,,32,Rap artist
AWOL ,,,20,Rap artist
Yella Boi ,,,22,Rap artist
The Notorious B.I.G. ,,,24,Rap artist
Bloodshed ,,,21,Rap artist
Micheal Menson ,,,30,Rap artist
Dion Stewart aka the true lesson giver ,,,30,Rap artist
Kilo G ,,,20,Rap artist
Yaki Kadafi ,,,19,Rap artist
G-Slimm ,,,29,Rap artist
Tupac Shakur ,,,25,Rap artist
Seagram ,,,26,Rap artist
Everlasting Hitman ,,,21,Rap artist
Mr. Cee ,,,30,Rap artist
Buffy ,,,38,Rap artist
Stretch ,,,27,Rap artist
Eazy E ,,,31,Rap artist
Hittman ,,,24,Rap artist
