box,week,date,temp,food,male,female,unknown,total,sex ratio
16,33,09/02/15,30,bad,79,93,13,185,84.95
1,34,16/02/15,27,good,29,33,2,64,87.88
2,34,16/02/15,27,bad,44,56,0,100,78.57
3,34,16/02/15,30,good,75,96,3,174,78.13
4,34,16/02/15,30,bad,98,104,7,209,94.23
6,34,16/02/15,33,bad,1,6,0,7,16.67
7,34,16/02/15,27,good,30,45,3,78,66.67
8,34,16/02/15,27,bad,64,64,4,132,100
9,34,16/02/15,30,good,66,74,3,143,89.19
10,34,16/02/15,30,bad,49,54,9,112,90.74
12,34,16/02/15,33,bad,9,9,1,19,100
13,34,16/02/15,27,good,46,58,5,109,79.31
14,34,16/02/15,27,bad,55,42,3,100,130.95
15,34,16/02/15,30,good,83,100,2,185,83
16,34,16/02/15,30,bad,65,90,8,163,72.22
1,35,23/02/15,27,good,17,21,1,39,80.95
2,35,23/02/15,27,bad,24,41,3,68,58.54
3,35,23/02/15,30,good,43,67,3,113,64.18
4,35,23/02/15,30,bad,43,45,11,99,95.56
6,35,23/02/15,33,bad,11,7,1,19,157.14
7,35,23/02/15,27,good,25,58,3,86,43.1
8,35,23/02/15,27,bad,56,54,9,119,103.7
9,35,23/02/15,30,good,39,57,0,96,68.42
10,35,23/02/15,30,bad,48,75,10,133,64
12,35,23/02/15,33,bad,12,8,0,20,150
13,35,23/02/15,27,good,26,38,3,67,68.42
14,35,23/02/15,27,bad,47,39,1,87,120.51
15,35,23/02/15,30,good,45,58,1,104,77.59
16,35,23/02/15,30,bad,45,61,15,121,73.77
1,36,02/03/15,27,good,30,43,3,76,69.77
2,36,02/03/15,27,bad,12,18,6,36,66.67
3,36,02/03/15,30,good,31,60,1,92,51.67
4,36,02/03/15,30,bad,51,65,2,118,78.46
6,36,02/03/15,33,bad,7,3,1,11,233.33
7,36,02/03/15,27,good,17,22,4,43,77.27
8,36,02/03/15,27,bad,21,21,11,53,100
9,36,02/03/15,30,good,18,30,6,54,60
10,36,02/03/15,30,bad,85,97,2,184,87.63
12,36,02/03/15,33,bad,19,15,1,35,126.67
13,36,02/03/15,27,good,23,25,4,52,92
14,36,02/03/15,27,bad,25,41,5,71,60.98
15,36,02/03/15,30,good,112,145,3,260,77.24
16,36,02/03/15,30,bad,32,49,2,83,65.31
1,37,09/03/15,27,good,35,48,1,84,72.92
2,37,09/03/15,27,bad,54,25,3,82,216
3,37,09/03/15,30,good,139,142,4,285,97.89
4,37,09/03/15,30,bad,81,105,4,190,77.14
6,37,09/03/15,33,bad,11,8,0,19,137.5
7,37,09/03/15,27,good,29,55,4,88,52.73
8,37,09/03/15,27,bad,32,30,1,63,106.67
9,37,09/03/15,30,good,41,45,0,86,91.11
10,37,09/03/15,30,bad,200,160,3,363,125
12,37,09/03/15,33,bad,24,21,0,45,114.29
13,37,09/03/15,27,good,60,111,8,179,54.05
14,37,09/03/15,27,bad,39,51,7,97,76.47
15,37,09/03/15,30,good,210,224,16,450,93.75
16,37,09/03/15,30,bad,126,131,5,262,96.18
1,38,16/03/15,27,good,68,67,2,137,101.49
2,38,16/03/15,27,bad,61,57,2,120,107.02
3,38,16/03/15,30,good,254,234,12,500,108.55
4,38,16/03/15,30,bad,186,182,8,376,102.2
6,38,16/03/15,33,bad,13,14,0,27,92.86
7,38,16/03/15,27,good,60,47,0,107,127.66
8,38,16/03/15,27,bad,61,55,6,122,110.91
9,38,16/03/15,30,good,59,75,1,135,78.67
10,38,16/03/15,30,bad,111,139,4,254,79.86
12,38,16/03/15,33,bad,19,9,0,28,211.11
13,38,16/03/15,27,good,59,78,10,147,75.64
14,38,16/03/15,27,bad,77,66,6,149,116.67
15,38,16/03/15,30,good,144,177,16,337,81.36
16,38,16/03/15,30,bad,141,141,12,294,100
1,39,23/03/15,27,good,45,57,3,105,78.95
2,39,23/03/15,27,bad,58,67,3,128,86.57
3,39,23/03/15,30,good,94,117,12,223,80.34
4,39,23/03/15,30,bad,100,102,6,208,98.04
6,39,23/03/15,33,bad,9,8,1,18,112.5
7,39,23/03/15,27,good,31,47,8,86,65.96
8,39,23/03/15,27,bad,82,97,3,182,84.54
9,39,23/03/15,30,good,65,70,1,136,92.86
10,39,23/03/15,30,bad,79,113,9,201,69.91
12,39,23/03/15,33,bad,7,11,0,18,63.64
13,39,23/03/15,27,good,49,88,17,154,55.68
14,39,23/03/15,27,bad,88,72,7,167,122.22
15,39,23/03/15,30,good,69,107,3,179,64.49
16,39,23/03/15,30,bad,94,154,9,257,61.04
1,40,30/03/15,27,good,38,44,2,84,86.36
2,40,30/03/15,27,bad,60,61,0,121,98.36
3,40,30/03/15,30,good,45,61,6,112,73.77
4,40,30/03/15,30,bad,77,105,2,184,73.33
6,40,30/03/15,33,bad,4,8,0,12,50
7,40,30/03/15,27,good,31,30,5,66,103.33
8,40,30/03/15,27,bad,53,58,2,113,91.38
9,40,30/03/15,30,good,58,64,4,126,90.63
10,40,30/03/15,30,bad,61,70,14,145,87.14
12,40,30/03/15,33,bad,4,5,0,9,80
13,40,30/03/15,27,good,44,50,11,105,88
14,40,30/03/15,27,bad,69,53,6,128,130.19
15,40,30/03/15,30,good,53,53,4,110,100
16,40,30/03/15,30,bad,92,130,15,237,70.77
1,41,07/04/15,27,good,31,18,6,55,172.22
2,41,07/04/15,27,bad,26,26,16,68,100
3,41,07/04/15,30,good,30,54,9,93,55.56
4,41,07/04/15,30,bad,33,47,13,93,70.21
6,41,07/04/15,33,bad,4,3,0,7,133.33
7,41,07/04/15,27,good,24,34,10,68,70.59
8,41,07/04/15,27,bad,21,30,6,57,70
9,41,07/04/15,30,good,58,63,6,127,92.06
10,41,07/04/15,30,bad,45,51,15,111,88.24
12,41,07/04/15,33,bad,4,3,0,7,133.33
13,41,07/04/15,27,good,31,38,17,86,81.58
14,41,07/04/15,27,bad,23,40,9,72,57.5
15,41,07/04/15,30,good,55,80,5,140,68.75
16,41,07/04/15,30,bad,35,60,20,115,58.33
1,42,13/04/15,27,good,20,16,1,37,125
2,42,13/04/15,27,bad,2,10,7,19,20
3,42,13/04/15,30,good,29,37,0,66,78.38
4,42,13/04/15,30,bad,25,29,2,56,86.21
6,42,13/04/15,33,bad,5,1,1,7,500
7,42,13/04/15,27,good,27,26,3,56,103.85
8,42,13/04/15,27,bad,6,8,7,21,75
9,42,13/04/15,30,good,24,34,2,60,70.59
10,42,13/04/15,30,bad,28,26,2,56,107.69
12,42,13/04/15,33,bad,2,4,0,6,50
13,42,13/04/15,27,good,20,23,3,46,86.96
14,42,13/04/15,27,bad,9,10,7,26,90
15,42,13/04/15,30,good,43,43,3,89,100
16,42,13/04/15,30,bad,13,17,1,31,76.47
1,43,20/04/15,27,good,46,36,0,82,127.78
2,43,20/04/15,27,bad,13,7,6,26,185.71
3,43,20/04/15,30,good,33,56,0,89,58.93
4,43,20/04/15,30,bad,23,27,5,55,85.19
6,43,20/04/15,33,bad,2,4,1,7,50
7,43,20/04/15,27,good,36,45,5,86,80
8,43,20/04/15,27,bad,5,5,2,12,100
9,43,20/04/15,30,good,28,45,1,74,62.22
10,43,20/04/15,30,bad,54,68,4,126,79.41
12,43,20/04/15,33,bad,3,2,0,5,150
13,43,20/04/15,27,good,34,33,0,67,103.03
14,43,20/04/15,27,bad,13,6,4,23,216.67
15,43,20/04/15,30,good,51,72,0,123,70.83
16,43,20/04/15,30,bad,34,41,0,75,82.93
1,44,27/04/15,27,good,47,43,2,92,109.3
2,44,27/04/15,27,bad,39,20,1,60,195
3,44,27/04/15,30,good,19,14,0,33,135.71
4,44,27/04/15,30,bad,45,43,1,89,104.65
6,44,27/04/15,33,bad,9,7,0,16,128.57
7,44,27/04/15,27,good,37,29,0,66,127.59
8,44,27/04/15,27,bad,21,9,2,32,233.33
9,44,27/04/15,30,good,20,27,0,47,74.07
10,44,27/04/15,30,bad,26,55,1,82,47.27
12,44,27/04/15,33,bad,3,8,0,11,37.5
13,44,27/04/15,27,good,29,50,2,81,58
14,44,27/04/15,27,bad,33,21,2,56,157.14
15,44,27/04/15,30,good,30,44,1,75,68.18
16,44,27/04/15,30,bad,12,10,1,23,120
1,45,05/05/15,27,good,43,60,0,103,71.67
2,45,05/05/15,27,bad,40,32,4,76,125
3,45,05/05/15,30,good,38,62,1,101,61.29
4,45,05/05/15,30,bad,57,87,2,146,65.52
6,45,05/05/15,33,bad,10,11,0,21,90.91
7,45,05/05/15,27,good,56,63,3,122,88.89
8,45,05/05/15,27,bad,71,66,2,139,107.58
9,45,05/05/15,30,good,31,46,0,77,67.39
10,45,05/05/15,30,bad,59,71,0,130,83.1
12,45,05/05/15,33,bad,2,5,0,7,40
13,45,05/05/15,27,good,67,60,4,131,111.67
14,45,05/05/15,27,bad,55,36,1,92,152.78
15,45,05/05/15,30,good,51,69,2,122,73.91
16,45,05/05/15,30,bad,34,49,6,89,69.39
1,46,11/05/15,27,good,49,44,0,93,111.36
2,46,11/05/15,27,bad,33,30,0,63,110
3,46,11/05/15,30,good,39,66,0,105,59.09
4,46,11/05/15,30,bad,75,77,0,152,97.4
6,46,11/05/15,33,bad,14,7,0,21,200
7,46,11/05/15,27,good,35,40,5,80,87.5
8,46,11/05/15,27,bad,50,53,1,104,94.34
9,46,11/05/15,30,good,37,49,1,87,75.51
10,46,11/05/15,30,bad,41,41,1,83,100
12,46,11/05/15,33,bad,4,5,0,9,80
13,46,11/05/15,27,good,40,48,1,89,83.33
14,46,11/05/15,27,bad,30,35,0,65,85.71
15,46,11/05/15,30,good,47,76,1,124,61.84
16,46,11/05/15,30,bad,36,33,7,76,109.09
1,47,18/05/15,27,good,27,30,0,57,90
2,47,18/05/15,27,bad,39,33,0,72,118.18
3,47,18/05/15,30,good,50,69,1,120,72.46
4,47,18/05/15,30,bad,72,59,12,143,122.03
6,47,18/05/15,33,bad,4,5,1,10,80
7,47,18/05/15,27,good,22,26,5,53,84.62
8,47,18/05/15,27,bad,25,24,3,52,104.17
9,47,18/05/15,30,good,39,46,0,85,84.78
10,47,18/05/15,30,bad,39,37,9,85,105.41
12,47,18/05/15,33,bad,1,2,0,3,50
13,47,18/05/15,27,good,39,43,4,86,90.7
14,47,18/05/15,27,bad,30,42,1,73,71.43
15,47,18/05/15,30,good,50,58,4,112,86.21
16,47,18/05/15,30,bad,45,60,12,117,75
1,48,26/05/15,27,good,25,34,3,62,73.53
2,48,26/05/15,27,bad,28,26,4,58,107.69
3,48,26/05/15,30,good,68,77,4,149,88.31
4,48,26/05/15,30,bad,16,34,17,67,47.06
6,48,26/05/15,33,bad,5,2,0,7,250
7,48,26/05/15,27,good,25,47,0,72,53.19
8,48,26/05/15,27,bad,30,26,6,62,115.38
9,48,26/05/15,30,good,39,64,3,106,60.94
10,48,26/05/15,30,bad,22,32,7,61,68.75
12,48,26/05/15,33,bad,0,5,0,5,0
13,48,26/05/15,27,good,16,28,6,50,57.14
14,48,26/05/15,27,bad,26,25,0,51,104
15,48,26/05/15,30,good,44,75,7,126,58.67
16,48,26/05/15,30,bad,61,60,12,133,101.67
1,49,01/06/15,27,good,32,31,1,64,103.23
2,49,01/06/15,27,bad,7,7,2,16,100
3,49,01/06/15,30,good,58,62,4,124,93.55
4,49,01/06/15,30,bad,19,27,3,49,70.37
6,49,01/06/15,33,bad,6,7,1,14,85.71
7,49,01/06/15,27,good,26,31,1,58,83.87
8,49,01/06/15,27,bad,10,13,2,25,76.92
9,49,01/06/15,30,good,19,26,0,45,73.08
10,49,01/06/15,30,bad,31,29,3,63,106.9
12,49,01/06/15,33,bad,1,4,0,5,25
13,49,01/06/15,27,good,39,34,1,74,114.71
14,49,01/06/15,27,bad,8,20,0,28,40
15,49,01/06/15,30,good,36,50,4,90,72
16,49,01/06/15,30,bad,84,73,11,168,115.07
1,50,08/06/15,27,good,47,41,1,89,114.63
2,50,08/06/15,27,bad,9,12,3,24,75
3,50,08/06/15,30,good,60,74,1,135,81.08
4,50,08/06/15,30,bad,62,72,0,134,86.11
6,50,08/06/15,33,bad,9,11,0,20,81.82
7,50,08/06/15,27,good,56,62,1,119,90.32
8,50,08/06/15,27,bad,33,21,0,54,157.14
9,50,08/06/15,30,good,26,50,1,77,52
10,50,08/06/15,30,bad,97,87,6,190,111.49
12,50,08/06/15,33,bad,8,7,0,15,114.29
13,50,08/06/15,27,good,50,55,6,111,90.91
14,50,08/06/15,27,bad,22,22,1,45,100
15,50,08/06/15,30,good,58,62,2,122,93.55
16,50,08/06/15,30,bad,59,100,1,160,59
1,51,15/06/15,27,good,56,52,2,110,107.69
2,51,15/06/15,27,bad,26,17,3,46,152.94
3,51,15/06/15,30,good,46,66,2,114,69.7
4,51,15/06/15,30,bad,71,56,1,128,126.79
6,51,15/06/15,33,bad,10,11,0,21,90.91
7,51,15/06/15,27,good,27,32,4,63,84.38
8,51,15/06/15,27,bad,58,44,3,105,131.82
9,51,15/06/15,30,good,35,28,0,63,125
10,51,15/06/15,30,bad,92,94,5,191,97.87
12,51,15/06/15,33,bad,6,5,0,11,120
13,51,15/06/15,27,good,48,32,5,85,150
14,51,15/06/15,27,bad,23,12,5,40,191.67
15,51,15/06/15,30,good,46,59,1,106,77.97
16,51,15/06/15,30,bad,61,89,8,158,68.54
1,52,22/06/15,27,good,38,42,4,84,90.48
2,52,22/06/15,27,bad,39,24,2,65,162.5
3,52,22/06/15,30,good,67,63,3,133,106.35
4,52,22/06/15,30,bad,91,78,5,174,116.67
6,52,22/06/15,33,bad,9,13,1,23,69.23
7,52,22/06/15,27,good,28,26,19,73,107.69
8,52,22/06/15,27,bad,94,69,2,165,136.23
9,52,22/06/15,30,good,34,42,1,77,80.95
10,52,22/06/15,30,bad,77,68,5,150,113.24
12,52,22/06/15,33,bad,0,0,0,0,0
13,52,22/06/15,27,good,43,39,4,86,110.26
14,52,22/06/15,27,bad,57,33,1,91,172.73
15,52,22/06/15,30,good,49,71,3,123,69.01
16,52,22/06/15,30,bad,72,92,15,179,78.26
1,53,29/06/15,27,good,36,48,0,84,75
2,53,29/06/15,27,bad,59,50,3,112,118
3,53,29/06/15,30,good,50,77,1,128,64.94
4,53,29/06/15,30,bad,85,65,27,177,130.77
6,53,29/06/15,33,bad,13,18,1,32,72.22
7,53,29/06/15,27,good,11,41,16,68,26.83
8,53,29/06/15,27,bad,40,56,3,99,71.43
9,53,29/06/15,30,good,44,65,0,109,67.69
10,53,29/06/15,30,bad,58,71,19,148,81.69
12,53,29/06/15,33,bad,0,0,0,0,0
13,53,29/06/15,27,good,28,29,1,58,96.55
14,53,29/06/15,27,bad,64,45,8,117,142.22
15,53,29/06/15,30,good,55,61,6,122,90.16
16,53,29/06/15,30,bad,40,35,13,88,114.29
1,54,06/07/15,27,good,32,48,1,81,66.67
2,54,06/07/15,27,bad,42,48,4,94,87.5
3,54,06/07/15,30,good,19,30,2,51,63.33
4,54,06/07/15,30,bad,38,42,7,87,90.48
6,54,06/07/15,33,bad,9,10,0,19,90
7,54,06/07/15,27,good,23,27,4,54,85.19
8,54,06/07/15,27,bad,24,35,2,61,68.57
9,54,06/07/15,30,good,29,36,0,65,80.56
10,54,06/07/15,30,bad,26,48,6,80,54.17
12,54,06/07/15,33,bad,2,0,0,2,0
13,54,06/07/15,27,good,56,35,4,95,160
14,54,06/07/15,27,bad,48,46,4,98,104.35
15,54,06/07/15,30,good,39,48,2,89,81.25
16,54,06/07/15,30,bad,29,34,1,64,85.29
1,55,13/07/15,27,good,57,57,2,116,100
2,55,13/07/15,27,bad,20,30,5,55,66.67
3,55,13/07/15,30,good,43,74,2,119,58.11
4,55,13/07/15,30,bad,55,55,1,111,100
6,55,13/07/15,33,bad,10,12,1,23,83.33
7,55,13/07/15,27,good,123,71,1,195,173.24
8,55,13/07/15,27,bad,23,25,1,49,92
9,55,13/07/15,30,good,36,49,3,88,73.47
10,55,13/07/15,30,bad,51,70,3,124,72.86
12,55,13/07/15,33,bad,4,3,0,7,133.33
13,55,13/07/15,27,good,70,65,1,136,107.69
14,55,13/07/15,27,bad,40,42,4,86,95.24
15,55,13/07/15,30,good,49,86,4,139,56.98
16,55,13/07/15,30,bad,73,89,1,163,82.02
1,56,20/07/15,27,good,66,84,4,154,78.57
2,56,20/07/15,27,bad,39,37,3,79,105.41
3,56,20/07/15,30,good,56,62,3,121,90.32
4,56,20/07/15,30,bad,129,142,7,278,90.85
6,56,20/07/15,33,bad,21,21,2,44,100
7,56,20/07/15,27,good,128,131,0,259,97.71
8,56,20/07/15,27,bad,42,31,2,75,135.48
9,56,20/07/15,30,good,58,65,3,126,89.23
10,56,20/07/15,30,bad,153,142,6,301,107.75
12,56,20/07/15,33,bad,10,10,0,20,100
13,56,20/07/15,27,good,104,105,5,214,99.05
14,56,20/07/15,27,bad,86,81,5,172,106.17
15,56,20/07/15,30,good,72,111,1,184,64.86
16,56,20/07/15,30,bad,82,113,2,197,72.57
1,57,28/07/15,27,good,112,116,5,233,96.55
2,57,28/07/15,27,bad,70,63,4,137,111.11
3,57,28/07/15,30,good,124,188,7,319,65.96
4,57,28/07/15,30,bad,104,126,18,248,82.54
6,57,28/07/15,33,bad,41,19,5,65,215.79
7,57,28/07/15,27,good,74,102,2,178,72.55
8,57,28/07/15,27,bad,130,101,4,235,128.71
9,57,28/07/15,30,good,89,92,1,182,96.74
10,57,28/07/15,30,bad,167,180,16,363,92.78
12,57,28/07/15,33,bad,2,6,0,8,33.33
13,57,28/07/15,27,good,111,76,12,199,146.05
14,57,28/07/15,27,bad,89,119,9,217,74.79
15,57,28/07/15,30,good,119,182,0,301,65.38
16,57,28/07/15,30,bad,94,110,25,229,85.45
1,58,03/08/15,27,good,79,98,2,179,80.61
2,58,03/08/15,27,bad,116,82,3,201,141.46
3,58,03/08/15,30,good,106,140,5,251,75.71
4,58,03/08/15,30,bad,84,125,13,222,67.2
6,58,03/08/15,33,bad,24,20,2,46,120
7,58,03/08/15,27,good,57,61,1,119,93.44
8,58,03/08/15,27,bad,124,105,9,238,118.1
9,58,03/08/15,30,good,102,109,4,215,93.58
10,58,03/08/15,30,bad,84,83,9,176,101.2
12,58,03/08/15,33,bad,1,1,1,3,100
13,58,03/08/15,27,good,70,77,17,164,90.91
14,58,03/08/15,27,bad,94,91,9,194,103.3
15,58,03/08/15,30,good,115,148,9,272,77.7
16,58,03/08/15,30,bad,65,70,3,138,92.86
1,59,10/08/15,27,good,59,57,8,124,103.51
2,59,10/08/15,27,bad,133,112,11,256,118.75
3,59,10/08/15,30,good,94,133,8,235,70.68
4,59,10/08/15,30,bad,111,148,17,276,75
6,59,10/08/15,33,bad,44,47,1,92,93.62
7,59,10/08/15,27,good,84,86,1,171,97.67
8,59,10/08/15,27,bad,29,80,14,123,36.25
9,59,10/08/15,30,good,83,100,2,185,83
10,59,10/08/15,30,bad,115,118,8,241,97.46
12,59,10/08/15,33,bad,1,0,0,1,#DIV/0!
13,59,10/08/15,27,good,72,60,5,137,120
14,59,10/08/15,27,bad,67,82,6,155,81.71
15,59,10/08/15,30,good,87,108,19,214,80.56
16,59,10/08/15,30,bad,129,127,4,260,101.57
1,60,17/08/15,27,good,34,55,9,98,61.82
2,60,17/08/15,27,bad,48,50,18,116,96
3,60,17/08/15,30,good,41,79,3,123,51.9
4,60,17/08/15,30,bad,73,121,14,208,60.33
6,60,17/08/15,33,bad,66,60,3,129,110
7,60,17/08/15,27,good,90,70,1,161,128.57
8,60,17/08/15,27,bad,37,44,3,84,84.09
9,60,17/08/15,30,good,53,71,2,126,74.65
10,60,17/08/15,30,bad,98,116,8,222,84.48
12,60,17/08/15,33,bad,14,7,1,22,200
13,60,17/08/15,27,good,50,53,0,103,94.34
14,60,17/08/15,27,bad,71,78,8,157,91.03
15,60,17/08/15,30,good,31,62,11,104,50
16,60,17/08/15,30,bad,62,97,16,175,63.92
1,61,24/08/15,27,good,46,57,7,110,80.7
2,61,24/08/15,27,bad,31,32,5,68,96.88
3,61,24/08/15,30,good,92,96,2,190,95.83
4,61,24/08/15,30,bad,69,102,16,187,67.65
6,61,24/08/15,33,bad,48,39,1,88,123.08
7,61,24/08/15,27,good,65,72,9,146,90.28
8,61,24/08/15,27,bad,66,56,7,129,117.86
9,61,24/08/15,30,good,61,95,1,157,64.21
10,61,24/08/15,30,bad,97,125,7,229,77.6
12,61,24/08/15,33,bad,19,16,0,35,118.75
13,61,24/08/15,27,good,64,61,7,132,104.92
14,61,24/08/15,27,bad,51,70,4,125,72.86
15,61,24/08/15,30,good,110,144,6,260,76.39
16,61,24/08/15,30,bad,33,50,3,86,66
1,62,01/09/15,27,good,97,125,22,244,77.6
2,62,01/09/15,27,bad,79,65,10,154,121.54
3,62,01/09/15,30,good,106,144,2,252,73.61
4,62,01/09/15,30,bad,83,96,21,200,86.46
6,62,01/09/15,33,bad,48,61,3,112,78.69
7,62,01/09/15,27,good,76,95,10,181,80
8,62,01/09/15,27,bad,71,68,5,144,104.41
9,62,01/09/15,30,good,101,94,5,200,107.45
10,62,01/09/15,30,bad,100,113,17,230,88.5
12,62,01/09/15,33,bad,16,24,2,42,66.67
13,62,01/09/15,27,good,79,75,12,166,105.33
14,62,01/09/15,27,bad,65,64,6,135,101.56
15,62,01/09/15,30,good,130,155,5,290,83.87
16,62,01/09/15,30,bad,72,79,4,155,91.14
1,63,07/09/15,27,good,58,74,6,138,78.38
2,63,07/09/15,27,bad,46,45,0,91,102.22
3,63,07/09/15,30,good,75,124,1,200,60.48
4,63,07/09/15,30,bad,56,96,7,159,58.33
6,63,07/09/15,33,bad,20,25,2,47,80
7,63,07/09/15,27,good,66,84,7,157,78.57
8,63,07/09/15,27,bad,36,47,1,84,76.6
9,63,07/09/15,30,good,78,65,1,144,120
10,63,07/09/15,30,bad,68,72,8,148,94.44
12,63,07/09/15,33,bad,2,7,0,9,28.57
13,63,07/09/15,27,good,55,48,6,109,114.58
14,63,07/09/15,27,bad,38,38,3,79,100
15,63,07/09/15,30,good,94,90,5,189,104.44
16,63,07/09/15,30,bad,65,98,0,163,66.33
1,64,14/09/15,27,good,61,88,3,152,69.32
2,64,14/09/15,27,bad,53,57,3,113,92.98
3,64,14/09/15,30,good,59,83,6,148,71.08
4,64,14/09/15,30,bad,73,75,1,149,97.33
6,64,14/09/15,33,bad,16,13,0,29,123.08
7,64,14/09/15,27,good,55,64,3,122,85.94
8,64,14/09/15,27,bad,36,39,2,77,92.31
9,64,14/09/15,30,good,64,63,1,128,101.59
10,64,14/09/15,30,bad,64,92,5,161,69.57
12,64,14/09/15,33,bad,0,0,0,0,#DIV/0!
13,64,14/09/15,27,good,43,63,5,111,68.25
14,64,14/09/15,27,bad,56,70,6,132,80
15,64,14/09/15,30,good,61,90,8,159,67.78
16,64,14/09/15,30,bad,86,96,8,190,89.58
1,65,21/09/15,27,good,23,41,4,68,56.1
2,65,21/09/15,27,bad,28,37,2,67,75.68
3,65,21/09/15,30,good,38,44,4,86,86.36
4,65,21/09/15,30,bad,46,58,18,122,79.31
6,65,21/09/15,33,bad,20,11,0,31,181.82
7,65,21/09/15,27,good,62,90,4,156,68.89
8,65,21/09/15,27,bad,17,15,1,33,113.33
9,65,21/09/15,30,good,36,46,2,84,78.26
10,65,21/09/15,30,bad,57,98,10,165,58.16
12,65,21/09/15,33,bad,5,2,0,7,250
13,65,21/09/15,27,good,16,49,7,72,32.65
14,65,21/09/15,27,bad,35,40,0,75,87.5
15,65,21/09/15,30,good,62,71,12,145,87.32
16,65,21/09/15,30,bad,44,51,10,105,86.27
1,66,28/09/15,27,good,7,16,6,29,43.75
2,66,28/09/15,27,bad,19,18,0,37,105.56
3,66,28/09/15,30,good,24,30,2,56,80
4,66,28/09/15,30,bad,24,32,3,59,75
6,66,28/09/15,33,bad,25,31,0,56,80.65
7,66,28/09/15,27,good,29,34,4,67,85.29
8,66,28/09/15,27,bad,26,21,3,50,123.81
9,66,28/09/15,30,good,14,10,0,24,140
10,66,28/09/15,30,bad,37,45,4,86,82.22
12,66,28/09/15,33,bad,4,4,1,9,100
13,66,28/09/15,27,good,15,28,3,46,53.57
14,66,28/09/15,27,bad,26,24,2,52,108.33
15,66,28/09/15,30,good,42,78,6,126,53.85
16,66,28/09/15,30,bad,19,23,2,44,82.61
1,67,05/10/15,27,good,17,18,1,36,94.44
2,67,05/10/15,27,bad,9,13,0,22,69.23
3,67,05/10/15,30,good,76,143,0,219,53.15
4,67,05/10/15,30,bad,34,70,3,107,48.57
6,67,05/10/15,33,bad,14,15,0,29,93.33
7,67,05/10/15,27,good,23,40,2,65,57.5
8,67,05/10/15,27,bad,18,39,1,58,46.15
9,67,05/10/15,30,good,33,79,0,112,41.77
10,67,05/10/15,30,bad,67,106,1,174,63.21
12,67,05/10/15,33,bad,18,9,0,27,200
13,67,05/10/15,27,good,35,55,4,94,63.64
14,67,05/10/15,27,bad,15,10,1,26,150
15,67,05/10/15,30,good,87,149,6,242,58.39
16,67,05/10/15,30,bad,25,56,0,81,44.64
1,68,13/10/15,27,good,50,54,4,108,92.59
2,68,13/10/15,27,bad,42,25,0,67,168
3,68,13/10/15,30,good,81,111,1,193,72.97
4,68,13/10/15,30,bad,86,94,2,182,91.49
6,68,13/10/15,33,bad,6,11,0,17,54.55
7,68,13/10/15,27,good,54,72,3,129,75
8,68,13/10/15,27,bad,25,27,1,53,92.59
9,68,13/10/15,30,good,89,121,1,211,73.55
10,68,13/10/15,30,bad,95,79,3,177,120.25
12,68,13/10/15,33,bad,19,13,0,32,146.15
13,68,13/10/15,27,good,89,111,16,216,80.18
14,68,13/10/15,27,bad,22,21,2,45,104.76
15,68,13/10/15,30,good,117,137,10,264,85.4
16,68,13/10/15,30,bad,71,53,2,126,133.96
1,69,20/10/15,27,good,60,74,5,139,81.08
2,69,20/10/15,27,bad,65,56,4,125,116.07
3,69,20/10/15,30,good,84,93,4,181,90.32
4,69,20/10/15,30,bad,43,43,14,100,100
6,69,20/10/15,33,bad,5,3,0,8,166.67
7,69,20/10/15,27,good,82,122,10,214,67.21
8,69,20/10/15,27,bad,35,46,1,82,76.09
9,69,20/10/15,30,good,69,84,3,156,82.14
10,69,20/10/15,30,bad,88,97,9,194,90.72
12,69,20/10/15,33,bad,8,7,0,15,114.29
13,69,20/10/15,27,good,61,68,17,146,89.71
14,69,20/10/15,27,bad,71,58,0,129,122.41
15,69,20/10/15,30,good,83,101,10,194,82.18
16,69,20/10/15,30,bad,60,67,6,133,89.55
1,70,27/10/15,27,good,32,48,2,82,66.67
2,70,27/10/15,27,bad,33,34,7,74,97.06
3,70,27/10/15,30,good,66,77,2,145,85.71
4,70,27/10/15,30,bad,41,36,8,85,113.89
6,70,27/10/15,33,bad,7,11,0,18,63.64
7,70,27/10/15,27,good,27,49,3,79,55.1
8,70,27/10/15,27,bad,39,42,5,86,92.86
9,70,27/10/15,30,good,22,37,2,61,59.46
10,70,27/10/15,30,bad,52,67,6,125,77.61
12,70,27/10/15,33,bad,0,3,0,3,0
13,70,27/10/15,27,good,37,46,13,96,80.43
14,70,27/10/15,27,bad,55,61,3,119,90.16
15,70,27/10/15,30,good,67,80,6,153,83.75
16,70,27/10/15,30,bad,24,39,9,72,61.54
1,71,03/11/15,27,good,26,36,7,69,72.22
2,71,03/11/15,27,bad,20,25,4,49,80
3,71,03/11/15,30,good,48,66,7,121,72.73
4,71,03/11/15,30,bad,37,47,0,84,78.72
6,71,03/11/15,33,bad,8,6,0,14,133.33
7,71,03/11/15,27,good,13,20,2,35,65
8,71,03/11/15,27,bad,11,29,2,42,37.93
9,71,03/11/15,30,good,23,58,0,81,39.66
10,71,03/11/15,30,bad,51,61,4,116,83.61
12,71,03/11/15,33,bad,0,2,0,2,0
13,71,03/11/15,27,good,31,34,1,66,91.18
14,71,03/11/15,27,bad,27,38,4,69,71.05
15,71,03/11/15,30,good,52,77,2,131,67.53
