box,date,number,temp,food,section removed,3rd,4th,5M,5F,Total
6,26/01/2015,30,33,bad,6C,0,0,0,0,0
7,26/01/2015,30,27,good,6C,5,4,6,5,20
8,26/01/2015,30,27,bad,6C,7,6,3,3,19
9,26/01/2015,30,30,good,6C,3,6,9,8,26
10,26/01/2015,30,30,bad,6C,5,6,7,7,25
12,26/01/2015,30,33,bad,6C,0,0,0,0,0
13,26/01/2015,30,27,good,6C,2,1,5,6,14
14,26/01/2015,30,27,bad,6C,10,7,6,14,37
15,26/01/2015,30,30,good,6C,0,3,1,5,9
16,26/01/2015,30,30,bad,6C,11,2,4,10,27
1,02/02/2015,31,27,good,1A,2,0,1,0,3
2,02/02/2015,31,27,bad,1A,0,2,0,0,2
3,02/02/2015,31,30,good,1A,1,0,0,0,1
4,02/02/2015,31,30,bad,1A,0,1,0,0,1
6,02/02/2015,31,33,bad,1A,0,0,0,0,0
7,02/02/2015,31,27,good,1A,0,0,0,0,0
8,02/02/2015,31,27,bad,1A,0,0,0,1,1
9,02/02/2015,31,30,good,1A,0,0,0,1,1
10,02/02/2015,31,30,bad,1A,0,0,0,0,0
12,02/02/2015,31,33,bad,1A,0,0,0,1,1
13,02/02/2015,31,27,good,1A,1,2,1,1,5
14,02/02/2015,31,27,bad,1A,2,1,1,0,4
15,02/02/2015,31,30,good,1A,0,3,2,0,5
16,02/02/2015,31,30,bad,1A,0,0,0,0,0
1,09/02/2015,32,27,good,2B,0,0,0,0,0
2,09/02/2015,32,27,bad,2B,1,1,0,0,2
3,09/02/2015,32,30,good,2B,0,0,0,0,0
4,09/02/2015,32,30,bad,2B,0,0,0,0,0
6,09/02/2015,32,33,bad,2B,0,0,0,1,1
7,09/02/2015,32,27,good,2B,0,0,1,0,1
8,09/02/2015,32,27,bad,2B,0,0,0,0,0
9,09/02/2015,32,30,good,2B,0,0,0,0,0
10,09/02/2015,32,30,bad,2B,1,0,0,0,1
12,09/02/2015,32,33,bad,2B,0,0,0,0,0
13,09/02/2015,32,27,good,2B,0,0,0,1,1
14,09/02/2015,32,27,bad,2B,0,0,0,0,0
15,09/02/2015,32,30,good,2B,1,0,0,0,1
16,09/02/2015,32,30,bad,2B,0,0,0,0,0
1,16/02/2015,33,27,good,3C,0,1,1,2,4
2,16/02/2015,33,27,bad,3C,1,2,0,0,3
3,16/02/2015,33,30,good,3C,0,0,0,0,0
4,16/02/2015,33,30,bad,3C,1,1,0,0,2
6,16/02/2015,33,33,bad,3C,0,0,0,0,0
7,16/02/2015,33,27,good,3C,0,0,1,1,2
8,16/02/2015,33,27,bad,3C,3,1,0,2,6
9,16/02/2015,33,30,good,3C,1,0,0,0,1
10,16/02/2015,33,30,bad,3C,0,0,0,0,0
12,16/02/2015,33,33,bad,3C,1,0,0,0,1
13,16/02/2015,33,27,good,3C,0,1,2,0,3
14,16/02/2015,33,27,bad,3C,3,3,0,3,9
15,16/02/2015,33,30,good,3C,0,1,1,0,2
16,16/02/2015,33,30,bad,3C,0,0,0,0,0
1,23/02/2015,34,27,good,4A,0,0,0,0,0
2,23/02/2015,34,27,bad,4A,12,1,1,2,16
3,23/02/2015,34,30,good,4A,1,0,0,0,1
4,23/02/2015,34,30,bad,4A,0,0,0,0,0
6,23/02/2015,34,33,bad,4A,1,0,0,1,2
7,23/02/2015,34,27,good,4A,2,0,1,2,5
8,23/02/2015,34,27,bad,4A,9,4,1,3,17
9,23/02/2015,34,30,good,4A,1,0,0,0,1
10,23/02/2015,34,30,bad,4A,0,0,0,1,1
12,23/02/2015,34,33,bad,4A,0,0,1,1,2
13,23/02/2015,34,27,good,4A,1,0,0,0,1
14,23/02/2015,34,27,bad,4A,3,2,3,0,8
15,23/02/2015,34,30,good,4A,0,0,0,0,0
16,23/02/2015,34,30,bad,4A,6,3,1,1,11
1,02/03/2015,35,27,good,5B,3,2,2,3,10
2,02/03/2015,35,27,bad,5B,5,2,0,3,10
3,02/03/2015,35,30,good,5B,1,4,0,0,5
4,02/03/2015,35,30,bad,5B,3,1,0,0,4
6,02/03/2015,35,33,bad,5B,1,0,0,0,1
7,02/03/2015,35,27,good,5B,0,3,2,4,9
8,02/03/2015,35,27,bad,5B,11,2,0,5,18
9,02/03/2015,35,30,good,5B,2,1,0,1,4
10,02/03/2015,35,30,bad,5B,1,1,0,3,5
12,02/03/2015,35,33,bad,5B,0,0,0,2,2
13,02/03/2015,35,27,good,5B,6,3,1,2,12
14,02/03/2015,35,27,bad,5B,4,4,1,0,9
15,02/03/2015,35,30,good,5B,4,3,0,2,9
16,02/03/2015,35,30,bad,5B,2,2,0,0,4
1,09/03/2015,36,27,good,6C,4,9,4,4,21
2,09/03/2015,36,27,bad,6C,3,9,2,4,18
3,09/03/2015,36,30,good,6C,6,7,2,13,28
4,09/03/2015,36,30,bad,6C,4,5,0,4,13
6,09/03/2015,36,33,bad,6C,0,0,1,1,2
7,09/03/2015,36,27,good,6C,4,1,3,1,9
8,09/03/2015,36,27,bad,6C,4,0,0,0,4
9,09/03/2015,36,30,good,6C,2,1,2,3,6
10,09/03/2015,36,30,bad,6C,6,0,0,0,6
12,09/03/2015,36,33,bad,6C,0,1,1,0,2
13,09/03/2015,36,27,good,6C,5,8,4,6,23
14,09/03/2015,36,27,bad,6C,7,1,1,0,9
15,09/03/2015,36,30,good,6C,2,0,0,2,7
16,09/03/2015,36,30,bad,6C,10,10,0,3,23
1,16/03/2015,37,27,good,1A,1,0,0,1,2
2,16/03/2015,37,27,bad,1A,0,0,0,0,0
3,16/03/2015,37,30,good,1A,0,0,0,0,0
4,16/03/2015,37,30,bad,1A,0,0,0,0,8
6,16/03/2015,37,33,bad,1A,0,0,0,0,0
7,16/03/2015,37,27,good,1A,0,0,0,0,0
8,16/03/2015,37,27,bad,1A,0,0,0,0,0
9,16/03/2015,37,30,good,1A,0,0,0,0,0
10,16/03/2015,37,30,bad,1A,0,0,0,0,9
12,16/03/2015,37,33,bad,1A,0,0,0,0,0
13,16/03/2015,37,27,good,1A,2,0,2,2,6
14,16/03/2015,37,27,bad,1A,1,0,0,0,1
15,16/03/2015,37,30,good,1A,2,0,0,0,2
16,16/03/2015,37,30,bad,1A,0,0,0,0,10
1,23/03/2015,38,27,good,2B,1,0,0,0,1
2,23/03/2015,38,27,bad,2B,1,2,0,0,3
3,23/03/2015,38,30,good,2B,0,0,0,0,11
4,23/03/2015,38,30,bad,2B,1,0,0,0,1
6,23/03/2015,38,33,bad,2B,0,0,0,0,0
7,23/03/2015,38,27,good,2B,0,1,0,0,12
8,23/03/2015,38,27,bad,2B,1,3,0,0,4
9,23/03/2015,38,30,good,2B,0,0,0,1,1
10,23/03/2015,38,30,bad,2B,0,0,0,0,13
12,23/03/2015,38,33,bad,2B,0,0,0,0,0
13,23/03/2015,38,27,good,2B,1,0,0,3,4
14,23/03/2015,38,27,bad,2B,0,0,0,0,14
15,23/03/2015,38,30,good,2B,1,0,0,0,1
16,23/03/2015,38,30,bad,2B,0,0,0,0,0
1,30/03/2015,39,27,good,3C,1,0,0,0,1
2,30/03/2015,39,27,bad,3C,0,0,1,0,1
3,30/03/2015,39,30,good,3C,1,0,0,0,1
4,30/03/2015,39,30,bad,3C,1,0,0,0,1
6,30/03/2015,39,33,bad,3C,0,0,0,0,0
7,30/03/2015,39,27,good,3C,2,0,2,0,4
8,30/03/2015,39,27,bad,3C,0,0,0,0,0
9,30/03/2015,39,30,good,3C,0,0,0,1,1
10,30/03/2015,39,30,bad,3C,0,0,0,0,0
12,30/03/2015,39,33,bad,3C,0,0,0,0,0
13,30/03/2015,39,27,good,3C,0,0,3,0,3
14,30/03/2015,39,27,bad,3C,0,1,0,0,1
15,30/03/2015,39,30,good,3C,0,1,0,0,1
16,30/03/2015,39,30,bad,3C,1,0,2,0,3
1,07/04/2015,40,27,good,4A,3,5,0,1,9
2,07/04/2015,40,27,bad,4A,4,4,1,5,14
3,07/04/2015,40,30,good,4A,1,0,0,0,1
4,07/04/2015,40,30,bad,4A,2,1,2,2,7
6,07/04/2015,40,33,bad,4A,2,1,0,0,3
7,07/04/2015,40,27,good,4A,3,1,6,5,15
8,07/04/2015,40,27,bad,4A,1,3,0,3,7
9,07/04/2015,40,30,good,4A,1,0,0,1,2
10,07/04/2015,40,30,bad,4A,3,1,0,0,4
12,07/04/2015,40,33,bad,4A,0,0,0,0,0
13,07/04/2015,40,27,good,4A,3,5,2,1,11
14,07/04/2015,40,27,bad,4A,0,1,2,2,5
15,07/04/2015,40,30,good,4A,3,2,1,0,6
16,07/04/2015,40,30,bad,4A,0,1,0,0,1
1,13/04/2015,41,27,good,5B,4,5,4,6,19
2,13/04/2015,41,27,bad,5B,2,0,0,1,3
3,13/04/2015,41,30,good,5B,6,3,0,4,13
4,13/04/2015,41,30,bad,5B,1,1,0,0,2
6,13/04/2015,41,33,bad,5B,0,0,0,0,0
7,13/04/2015,41,27,good,5B,0,2,0,3,5
8,13/04/2015,41,27,bad,5B,6,7,0,0,13
9,13/04/2015,41,30,good,5B,0,0,2,1,3
10,13/04/2015,41,30,bad,5B,0,2,1,3,6
12,13/04/2015,41,33,bad,5B,0,0,0,0,0
13,13/04/2015,41,27,good,5B,5,5,1,1,12
14,13/04/2015,41,27,bad,5B,3,6,2,1,12
15,13/04/2015,41,30,good,5B,0,1,0,6,7
16,13/04/2015,41,30,bad,5B,2,0,0,0,2
1,20/04/2015,42,27,good,6C,1,3,4,3,11
2,20/04/2015,42,27,bad,6C,8,1,2,0,11
3,20/04/2015,42,30,good,6C,0,4,2,1,7
4,20/04/2015,42,30,bad,6C,5,9,5,4,23
6,20/04/2015,42,33,bad,6C,2,1,0,1,4
7,20/04/2015,42,27,good,6C,0,4,1,2,7
8,20/04/2015,42,27,bad,6C,4,3,2,1,10
9,20/04/2015,42,30,good,6C,1,1,2,1,5
10,20/04/2015,42,30,bad,6C,6,0,4,1,11
12,20/04/2015,42,33,bad,6C,1,0,0,0,1
13,20/04/2015,42,27,good,6C,8,4,5,12,29
14,20/04/2015,42,27,bad,6C,8,5,0,4,17
15,20/04/2015,42,30,good,6C,2,4,0,2,8
16,20/04/2015,42,30,bad,6C,7,1,0,5,13
1,27/04/2015,43,27,good,1A,0,1,2,1,4
2,27/04/2015,43,27,bad,1A,0,0,0,0,0
3,27/04/2015,43,30,good,1A,2,1,1,0,4
4,27/04/2015,43,30,bad,1A,0,0,1,0,1
6,27/04/2015,43,33,bad,1A,0,0,1,0,1
7,27/04/2015,43,27,good,1A,1,1,1,1,4
8,27/04/2015,43,27,bad,1A,0,0,0,0,0
9,27/04/2015,43,30,good,1A,0,0,1,1,2
10,27/04/2015,43,30,bad,1A,0,0,0,0,0
12,27/04/2015,43,33,bad,1A,1,0,0,0,1
13,27/04/2015,43,27,good,1A,1,0,0,2,3
14,27/04/2015,43,27,bad,1A,0,0,0,0,0
15,27/04/2015,43,30,good,1A,0,0,2,0,2
16,27/04/2015,43,30,bad,1A,0,0,0,0,0
1,05/05/2015,44,27,good,2B,0,0,0,0,0
2,05/05/2015,44,27,bad,2B,2,0,0,1,3
3,05/05/2015,44,30,good,2B,0,1,0,0,1
4,05/05/2015,44,30,bad,2B,0,0,0,0,0
6,05/05/2015,44,33,bad,2B,0,0,0,0,0
7,05/05/2015,44,27,good,2B,0,0,0,2,2
8,05/05/2015,44,27,bad,2B,2,0,0,0,2
9,05/05/2015,44,30,good,2B,0,0,0,0,0
10,05/05/2015,44,30,bad,2B,0,0,0,0,0
12,05/05/2015,44,33,bad,2B,0,0,0,0,0
13,05/05/2015,44,27,good,2B,2,0,0,1,3
14,05/05/2015,44,27,bad,2B,1,1,1,4,7
15,05/05/2015,44,30,good,2B,0,0,0,1,1
16,05/05/2015,44,30,bad,2B,5,1,1,2,9
1,11/05/2015,45,27,good,3C,0,0,0,0,0
2,11/05/2015,45,27,bad,3C,0,1,1,6,8
3,11/05/2015,45,30,good,3C,1,0,2,0,3
4,11/05/2015,45,30,bad,3C,4,0,0,1,5
6,11/05/2015,45,33,bad,3C,0,0,0,0,0
7,11/05/2015,45,27,good,3C,5,2,0,2,9
8,11/05/2015,45,27,bad,3C,0,0,0,1,1
9,11/05/2015,45,30,good,3C,1,0,0,0,1
10,11/05/2015,45,30,bad,3C,6,2,0,3,11
12,11/05/2015,45,33,bad,3C,0,0,0,0,0
13,11/05/2015,45,27,good,3C,0,0,0,2,2
14,11/05/2015,45,27,bad,3C,0,1,0,0,1
15,11/05/2015,45,30,good,3C,1,0,0,0,1
16,11/05/2015,45,30,bad,3C,8,2,1,11,22
1,18/05/2015,46,27,good,4A,3,0,1,2,6
2,18/05/2015,46,27,bad,4A,3,1,0,5,9
3,18/05/2015,46,30,good,4A,3,1,1,2,7
4,18/05/2015,46,30,bad,4A,14,2,4,3,23
6,18/05/2015,46,33,bad,4A,0,0,0,3,3
7,18/05/2015,46,27,good,4A,0,0,3,5,8
8,18/05/2015,46,27,bad,4A,9,2,1,3,15
9,18/05/2015,46,30,good,4A,0,0,0,0,0
10,18/05/2015,46,30,bad,4A,8,3,2,5,18
12,18/05/2015,46,33,bad,4A,0,0,0,0,0
13,18/05/2015,46,27,good,4A,3,2,1,3,9
14,18/05/2015,46,27,bad,4A,0,0,0,4,4
15,18/05/2015,46,30,good,4A,0,0,0,2,2
16,18/05/2015,46,30,bad,4A,8,5,4,8,25
1,26/05/2015,47,27,good,5B,4,1,3,2,10
2,26/05/2015,47,27,bad,5B,6,0,2,3,11
3,26/05/2015,47,30,good,5B,4,5,2,6,17
4,26/05/2015,47,30,bad,5B,7,7,0,5,19
6,26/05/2015,47,33,bad,5B,1,0,1,2,4
7,26/05/2015,47,27,good,5B,0,1,2,4,7
8,26/05/2015,47,27,bad,5B,19,8,7,9,43
9,26/05/2015,47,30,good,5B,1,0,1,1,3
10,26/05/2015,47,30,bad,5B,5,4,0,2,11
12,26/05/2015,47,33,bad,5B,0,0,0,1,1
13,26/05/2015,47,27,good,5B,10,7,3,7,27
14,26/05/2015,47,27,bad,5B,1,6,4,2,13
15,26/05/2015,47,30,good,5B,4,3,1,4,12
16,26/05/2015,47,30,bad,5B,2,8,1,5,16
1,01/06/2015,48,27,good,6C,2,0,0,4,6
2,01/06/2015,48,27,bad,6C,14,9,2,6,31
3,01/06/2015,48,30,good,6C,1,2,0,3,6
4,01/06/2015,48,30,bad,6C,12,13,5,5,35
6,01/06/2015,48,33,bad,6C,0,2,2,2,6
7,01/06/2015,48,27,good,6C,1,2,0,2,5
8,01/06/2015,48,27,bad,6C,11,8,2,9,30
9,01/06/2015,48,30,good,6C,8,0,0,2,10
10,01/06/2015,48,30,bad,6C,3,9,3,10,25
12,01/06/2015,48,33,bad,6C,0,0,0,0,0
13,01/06/2015,48,27,good,6C,5,3,6,8,22
14,01/06/2015,48,27,bad,6C,1,6,3,9,19
15,01/06/2015,48,30,good,6C,13,9,5,7,34
16,01/06/2015,48,30,bad,6C,7,7,5,11,30
1,08/06/2015,49,27,good,1A,4,1,0,1,6
2,08/06/2015,49,27,bad,1A,1,1,1,11,14
3,08/06/2015,49,30,good,1A,1,0,0,1,2
4,08/06/2015,49,30,bad,1A,0,0,0,0,0
6,08/06/2015,49,33,bad,1A,0,1,0,0,1
7,08/06/2015,49,27,good,1A,0,1,5,2,8
8,08/06/2015,49,27,bad,1A,0,0,1,0,1
9,08/06/2015,49,30,good,1A,0,1,0,1,2
10,08/06/2015,49,30,bad,1A,2,1,0,0,3
12,08/06/2015,49,33,bad,1A,0,0,0,0,0
13,08/06/2015,49,27,good,1A,0,0,2,3,5
14,08/06/2015,49,27,bad,1A,3,3,5,7,18
15,08/06/2015,49,30,good,1A,1,1,0,2,4
16,08/06/2015,49,30,bad,1A,0,0,0,0,0
1,15/06/2015,50,27,good,2B,3,1,0,0,4
2,15/06/2015,50,27,bad,2B,1,2,2,3,8
3,15/06/2015,50,30,good,2B,1,1,1,1,4
4,15/06/2015,50,30,bad,2B,0,0,0,0,0
6,15/06/2015,50,33,bad,2B,0,0,0,0,0
7,15/06/2015,50,27,good,2B,5,4,3,5,17
8,15/06/2015,50,27,bad,2B,0,1,1,2,4
9,15/06/2015,50,30,good,2B,5,1,1,1,8
10,15/06/2015,50,30,bad,2B,2,2,0,0,4
12,15/06/2015,50,33,bad,2B,0,0,0,0,0
13,15/06/2015,50,27,good,2B,1,2,3,5,11
14,15/06/2015,50,27,bad,2B,0,0,1,1,2
15,15/06/2015,50,30,good,2B,3,0,0,2,5
16,15/06/2015,50,30,bad,2B,2,0,0,1,3
1,22/06/2015,51,27,good,3C,3,2,2,4,11
2,22/06/2015,51,27,bad,3C,2,0,2,3,7
3,22/06/2015,51,30,good,3C,3,1,0,1,5
4,22/06/2015,51,30,bad,3C,5,2,1,0,8
6,22/06/2015,51,33,bad,3C,0,0,0,0,0
7,22/06/2015,51,27,good,3C,30,9,11,12,62
8,22/06/2015,51,27,bad,3C,3,4,1,1,9
9,22/06/2015,51,30,good,3C,1,0,0,0,1
10,22/06/2015,51,30,bad,3C,11,1,0,0,12
12,22/06/2015,51,33,bad,3C,1,0,0,0,1
13,22/06/2015,51,27,good,3C,4,4,3,2,13
14,22/06/2015,51,27,bad,3C,7,2,1,0,10
15,22/06/2015,51,30,good,3C,1,0,1,2,4
16,22/06/2015,51,30,bad,3C,1,0,0,0,1
1,29/06/2015,52,27,good,4A,3,11,4,4,22
2,29/06/2015,52,27,bad,4A,6,6,0,0,12
3,29/06/2015,52,30,good,4A,4,7,2,3,16
4,29/06/2015,52,30,bad,4A,8,9,1,5,23
6,29/06/2015,52,33,bad,4A,0,0,0,0,0
7,29/06/2015,52,27,good,4A,3,13,13,19,48
8,29/06/2015,52,27,bad,4A,1,8,4,4,17
9,29/06/2015,52,30,good,4A,3,7,0,2,12
10,29/06/2015,52,30,bad,4A,6,18,3,4,31
12,29/06/2015,52,33,bad,4A,0,0,1,0,1
13,29/06/2015,52,27,good,4A,2,12,5,8,27
14,29/06/2015,52,27,bad,4A,2,5,3,4,14
15,29/06/2015,52,30,good,4A,1,5,1,4,11
16,29/06/2015,52,30,bad,4A,1,5,0,1,7
1,06/07/2015,53,27,good,5B,0,5,4,2,11
2,06/07/2015,53,27,bad,5B,4,12,5,7,28
3,06/07/2015,53,30,good,5B,5,12,6,7,30
4,06/07/2015,53,30,bad,5B,6,8,4,1,19
6,06/07/2015,53,33,bad,5B,0,3,0,0,3
7,06/07/2015,53,27,good,5B,0,5,5,6,16
8,06/07/2015,53,27,bad,5B,7,19,10,9,45
9,06/07/2015,53,30,good,5B,1,5,2,2,10
10,06/07/2015,53,30,bad,5B,5,20,6,7,38
12,06/07/2015,53,33,bad,5B,0,0,0,0,0
13,06/07/2015,53,27,good,5B,1,4,4,4,13
14,06/07/2015,53,27,bad,5B,5,11,5,5,26
15,06/07/2015,53,30,good,5B,0,9,3,5,17
16,06/07/2015,53,30,bad,5B,0,10,4,4,18
1,13/07/2015,54,27,good,6C,9,7,18,16,50
2,13/07/2015,54,27,bad,6C,3,1,1,3,8
3,13/07/2015,54,30,good,6C,6,5,5,8,24
4,13/07/2015,54,30,bad,6C,1,2,1,4,8
6,13/07/2015,54,33,bad,6C,0,0,0,2,2
7,13/07/2015,54,27,good,6C,1,0,5,9,15
8,13/07/2015,54,27,bad,6C,3,8,9,15,35
9,13/07/2015,54,30,good,6C,9,12,9,16,46
10,13/07/2015,54,30,bad,6C,2,2,3,5,12
12,13/07/2015,54,33,bad,6C,0,0,0,0,0
13,13/07/2015,54,27,good,6C,2,2,7,7,18
14,13/07/2015,54,27,bad,6C,2,0,2,1,5
15,13/07/2015,54,30,good,6C,6,2,0,8,16
16,13/07/2015,54,30,bad,6C,6,5,10,14,35
1,20/07/2015,55,27,good,1A,1,0,1,2,4
2,20/07/2015,55,27,bad,1A,4,7,4,9,24
3,20/07/2015,55,30,good,1A,2,2,7,5,16
4,20/07/2015,55,30,bad,1A,0,0,1,1,2
6,20/07/2015,55,33,bad,1A,1,3,2,2,8
7,20/07/2015,55,27,good,1A,0,0,2,2,4
8,20/07/2015,55,27,bad,1A,2,2,3,2,9
9,20/07/2015,55,30,good,1A,0,2,1,2,5
10,20/07/2015,55,30,bad,1A,1,0,0,2,3
12,20/07/2015,55,33,bad,1A,0,0,0,0,0
13,20/07/2015,55,27,good,1A,1,1,2,1,5
14,20/07/2015,55,27,bad,1A,5,4,2,5,16
15,20/07/2015,55,30,good,1A,5,0,2,3,10
16,20/07/2015,55,30,bad,1A,0,0,1,1,2
1,28/07/2015,56,27,good,2B,2,1,5,4,12
2,28/07/2015,56,27,bad,2B,1,0,4,3,8
3,28/07/2015,56,30,good,2B,2,1,2,2,7
4,28/07/2015,56,30,bad,2B,1,0,1,2,4
6,28/07/2015,56,33,bad,2B,1,0,1,1,3
7,28/07/2015,56,27,good,2B,3,1,2,4,10
8,28/07/2015,56,27,bad,2B,0,0,0,3,3
9,28/07/2015,56,30,good,2B,1,1,5,3,10
10,28/07/2015,56,30,bad,2B,0,3,1,2,6
12,28/07/2015,56,33,bad,2B,0,1,0,0,1
13,28/07/2015,56,27,good,2B,3,2,0,1,6
14,28/07/2015,56,27,bad,2B,4,0,1,4,9
15,28/07/2015,56,30,good,2B,0,1,2,1,4
16,28/07/2015,56,30,bad,2B,0,1,1,3,5
1,03/08/2015,57,27,good,3C,5,2,1,6,14
2,03/08/2015,57,27,bad,3C,0,2,0,0,2
3,03/08/2015,57,30,good,3C,3,6,1,7,17
4,03/08/2015,57,30,bad,3C,1,1,1,1,4
6,03/08/2015,57,33,bad,3C,0,0,0,10,10
7,03/08/2015,57,27,good,3C,6,0,20,8,34
8,03/08/2015,57,27,bad,3C,1,5,0,4,10
9,03/08/2015,57,30,good,3C,3,3,2,0,8
10,03/08/2015,57,30,bad,3C,1,0,1,2,4
12,03/08/2015,57,33,bad,3C,1,0,0,4,5
13,03/08/2015,57,27,good,3C,6,3,4,7,20
14,03/08/2015,57,27,bad,3C,5,0,1,1,7
15,03/08/2015,57,30,good,3C,2,5,2,0,9
16,03/08/2015,57,30,bad,3C,3,4,4,6,17
1,10/08/2015,58,27,good,4A,3,3,12,12,30
2,10/08/2015,58,27,bad,4A,8,4,3,3,18
3,10/08/2015,58,30,good,4A,6,3,4,7,20
4,10/08/2015,58,30,bad,4A,0,0,0,0,0
6,10/08/2015,58,33,bad,4A,0,1,0,5,6
7,10/08/2015,58,27,good,4A,8,3,7,4,22
8,10/08/2015,58,27,bad,4A,25,12,7,19,63
9,10/08/2015,58,30,good,4A,16,5,2,5,28
10,10/08/2015,58,30,bad,4A,1,2,0,1,4
12,10/08/2015,58,33,bad,4A,0,0,0,0,0
13,10/08/2015,58,27,good,4A,6,3,8,12,29
14,10/08/2015,58,27,bad,4A,2,0,1,1,4
15,10/08/2015,58,30,good,4A,12,7,4,8,31
16,10/08/2015,58,30,bad,4A,2,0,0,1,3
1,17/08/2015,59,27,good,5B,5,5,12,15,37
2,17/08/2015,59,27,bad,5B,8,24,8,10,50
3,17/08/2015,59,30,good,5B,15,10,8,23,56
4,17/08/2015,59,30,bad,5B,9,5,16,9,39
6,17/08/2015,59,33,bad,5B,0,0,0,1,1
7,17/08/2015,59,27,good,5B,6,7,8,6,27
8,17/08/2015,59,27,bad,5B,11,5,2,12,30
9,17/08/2015,59,30,good,5B,5,4,2,5,16
10,17/08/2015,59,30,bad,5B,0,5,4,2,11
12,17/08/2015,59,33,bad,5B,0,0,0,0,0
13,17/08/2015,59,27,good,5B,3,4,5,12,24
14,17/08/2015,59,27,bad,5B,1,2,1,6,10
15,17/08/2015,59,30,good,5B,4,12,6,8,30
16,17/08/2015,59,30,bad,5B,15,6,0,6,27
1,24/08/2015,60,27,good,6C,9,10,6,14,39
2,24/08/2015,60,27,bad,6C,4,9,3,6,22
3,24/08/2015,60,30,good,6C,12,11,3,5,31
4,24/08/2015,60,30,bad,6C,3,10,7,9,29
6,24/08/2015,60,33,bad,6C,0,1,0,0,1
7,24/08/2015,60,27,good,6C,15,12,20,21,68
8,24/08/2015,60,27,bad,6C,1,7,4,9,21
9,24/08/2015,60,30,good,6C,10,5,1,6,22
10,24/08/2015,60,30,bad,6C,5,2,1,6,14
12,24/08/2015,60,33,bad,6C,0,0,0,0,0
13,24/08/2015,60,27,good,6C,7,4,5,17,33
14,24/08/2015,60,27,bad,6C,7,11,14,13,45
15,24/08/2015,60,30,good,6C,11,9,2,10,32
16,24/08/2015,60,30,bad,6C,3,6,1,2,12
1,01/09/2015,61,27,good,1A,1,0,1,1,3
2,01/09/2015,61,27,bad,1A,0,0,0,0,0
3,01/09/2015,61,30,good,1A,0,1,1,1,3
4,01/09/2015,61,30,bad,1A,0,0,0,0,0
6,01/09/2015,61,33,bad,1A,0,2,0,0,2
7,01/09/2015,61,27,good,1A,3,10,1,4,18
8,01/09/2015,61,27,bad,1A,0,0,0,1,1
9,01/09/2015,61,30,good,1A,0,0,0,0,0
10,01/09/2015,61,30,bad,1A,1,0,0,1,2
12,01/09/2015,61,33,bad,1A,0,0,0,0,0
13,01/09/2015,61,27,good,1A,0,2,1,0,3
14,01/09/2015,61,27,bad,1A,1,1,0,1,3
15,01/09/2015,61,30,good,1A,0,0,1,2,3
16,01/09/2015,61,30,bad,1A,0,0,1,0,1
1,07/09/2015,62,27,good,2B,4,15,4,8,31
2,07/09/2015,62,27,bad,2B,1,6,3,0,10
3,07/09/2015,62,30,good,2B,8,12,3,5,28
4,07/09/2015,62,30,bad,2B,3,6,2,2,13
6,07/09/2015,62,33,bad,2B,5,3,1,1,10
7,07/09/2015,62,27,good,2B,1,7,2,3,13
8,07/09/2015,62,27,bad,2B,1,10,4,5,20
9,07/09/2015,62,30,good,2B,5,6,1,0,12
10,07/09/2015,62,30,bad,2B,5,7,0,0,12
12,07/09/2015,62,33,bad,2B,0,0,0,0,0
13,07/09/2015,62,27,good,2B,2,8,4,9,23
14,07/09/2015,62,27,bad,2B,0,1,2,1,4
15,07/09/2015,62,30,good,2B,12,26,2,5,45
16,07/09/2015,62,30,bad,2B,3,9,3,5,20
